osm_type,osm_id,name,brown_relevant_hint,building_type,amenity,operator,owner,address_number,address_street,address_city,address_state,address_postcode,levels,wikidata,wikipedia,website,latitude,longitude,osm_url,source_url,license
way,141129271,Penner Field House,true,yes,,Brown University,,237,Lloyd Avenue,Providence,RI,,,,,https://facilities.brown.edu/project/indoor-turf-facility,41.8306936,-71.3961698,https://www.openstreetmap.org/way/141129271,https://overpass-api.de/,"OpenStreetMap contributors, ODbL"
way,141535672,Hospital Trust Building,false,office,,Rhode Island School of Design,,,,,,,11,Q7320926,en:Rhode Island Hospital Trust Building,,41.8255732,-71.4096383,https://www.openstreetmap.org/way/141535672,https://overpass-api.de/,"OpenStreetMap contributors, ODbL"
way,141535674,Hall's Building,false,office,,,,,,,,,,,,,41.824027,-71.409992,https://www.openstreetmap.org/way/141535674,https://overpass-api.de/,"OpenStreetMap contributors, ODbL"
way,141535706,,false,office,,,,,,,,,3,,,,41.8230217,-71.4097645,https://www.openstreetmap.org/way/141535706,https://overpass-api.de/,"OpenStreetMap contributors, ODbL"
way,141535724,Freeway Garage,false,yes,parking,,,36,Pine Street,Providence,RI,02903,3,,,,41.8230774,-71.4089394,https://www.openstreetmap.org/way/141535724,https://overpass-api.de/,"OpenStreetMap contributors, ODbL"
way,141535751,Banigan Building,false,office,,,,,,,,,12,,,,41.8245943,-71.4091289,https://www.openstreetmap.org/way/141535751,https://overpass-api.de/,"OpenStreetMap contributors, ODbL"
way,141535762,Studley Building,false,office,,,,,,,,,6,,,,41.8233661,-71.4102357,https://www.openstreetmap.org/way/141535762,https://overpass-api.de/,"OpenStreetMap contributors, ODbL"
way,141535765,Hanley Building,false,office,,,,,,,,,7,,,,41.8228548,-71.4093732,https://www.openstreetmap.org/way/141535765,https://overpass-api.de/,"OpenStreetMap contributors, ODbL"
way,141535771,One Financial Plaza,false,commercial,,,,1,Financial Plaza,Providence,RI,,28,Q7092634,,,41.8253136,-71.4101116,https://www.openstreetmap.org/way/141535771,https://overpass-api.de/,"OpenStreetMap contributors, ODbL"
way,141535777,The Arcade Garage,false,yes,parking,GP Arcade Garage LLC,,66,Weybosset Street,Providence,RI,02903,9,,,https://www.thearcadegarage.com/,41.8234884,-71.4097122,https://www.openstreetmap.org/way/141535777,https://overpass-api.de/,"OpenStreetMap contributors, ODbL"
way,141535784,,false,office,,,,,,,,,5,,,,41.8231468,-71.409743,https://www.openstreetmap.org/way/141535784,https://overpass-api.de/,"OpenStreetMap contributors, ODbL"
way,141535788,Shakespeare Hall,false,office,,,,,,,,,5,Q7462799,en:Shakespeare Hall,,41.8224698,-71.4096028,https://www.openstreetmap.org/way/141535788,https://overpass-api.de/,"OpenStreetMap contributors, ODbL"
way,141535797,,false,yes,,,,58,Weybosset Street,,,,10,,,,41.8237559,-71.4096991,https://www.openstreetmap.org/way/141535797,https://overpass-api.de/,"OpenStreetMap contributors, ODbL"
way,141535813,Wilcox Building,false,office,,,,,,,,,6,,,,41.8241417,-71.4094649,https://www.openstreetmap.org/way/141535813,https://overpass-api.de/,"OpenStreetMap contributors, ODbL"
way,141535832,John E. Fogarty Judicial Annex,false,office,,,,,,,,,3,,,,41.8244095,-71.4093814,https://www.openstreetmap.org/way/141535832,https://overpass-api.de/,"OpenStreetMap contributors, ODbL"
way,141535883,Garrahy Judicial Complex,false,yes,courthouse,,,,,,,,,,,,41.8213344,-71.4095613,https://www.openstreetmap.org/way/141535883,https://overpass-api.de/,"OpenStreetMap contributors, ODbL"
way,141567722,,false,office,,,,,,,,,,,,,41.8206399,-71.4037847,https://www.openstreetmap.org/way/141567722,https://overpass-api.de/,"OpenStreetMap contributors, ODbL"
way,141567725,,false,office,,,,,,,,,,,,,41.8208773,-71.4039776,https://www.openstreetmap.org/way/141567725,https://overpass-api.de/,"OpenStreetMap contributors, ODbL"
way,141567726,SoMain 1,false,office,,,,255;257,South Main Street,,,,,,,,41.8224905,-71.4054034,https://www.openstreetmap.org/way/141567726,https://overpass-api.de/,"OpenStreetMap contributors, ODbL"
way,141567727,Metcalf Building,true,university,,,,,,,,,,,,,41.8265464,-71.4082384,https://www.openstreetmap.org/way/141567727,https://overpass-api.de/,"OpenStreetMap contributors, ODbL"
way,141567731,,false,office,,,,,,,,,,,,,41.8205859,-71.4094697,https://www.openstreetmap.org/way/141567731,https://overpass-api.de/,"OpenStreetMap contributors, ODbL"
way,141567732,"Bayard Ewing Building, RISD Architecture Building",false,school,,,,231,South Main Street,,,,,,,,41.8226586,-71.4058063,https://www.openstreetmap.org/way/141567732,https://overpass-api.de/,"OpenStreetMap contributors, ODbL"
way,141567734,,false,office,,,,,,,,,5,,,,41.8221558,-71.4100294,https://www.openstreetmap.org/way/141567734,https://overpass-api.de/,"OpenStreetMap contributors, ODbL"
way,141567737,The Packet Building,false,office,,,,155,South Main Street,,,,,,,,41.8235494,-71.4066432,https://www.openstreetmap.org/way/141567737,https://overpass-api.de/,"OpenStreetMap contributors, ODbL"
way,141567739,Washington Place,false,office,,,,,,,,,,,,,41.8271188,-71.4093323,https://www.openstreetmap.org/way/141567739,https://overpass-api.de/,"OpenStreetMap contributors, ODbL"
way,141567740,College Building,true,university,,,,236,Benefit Street,,,,,,,,41.8260525,-71.4074549,https://www.openstreetmap.org/way/141567740,https://overpass-api.de/,"OpenStreetMap contributors, ODbL"
