term,term_code,course_code,course_title,section,crn,meeting_schedule,location,location_status,instructor,schedule_type_code,class_status,cab_status_code,cancelled,start_date,end_date,cab_schedule_and_location,source_url
Fall 2026,202610,AFRI 0090,An Introduction to Africana Studies,S01,15141,TTh 10:30am-11:50am,CIT Center (Thomas Watson CIT) 227,Physical location published,K. Blain,S,Active,A,false,2026-09-09,2026-12-21,TTh 10:30am-11:50am in CIT Center (Thomas Watson CIT) 227,https://cab.brown.edu/
Fall 2026,202610,AFRI 1111,Systemic Racism and Modes of Resilience,S01,15142,MWF 1pm-1:50pm,Alumnae Hall CRYSTAL,Physical location published,T. Rose,S,Active,A,false,2026-09-09,2026-12-21,MWF 1pm-1:50pm in Alumnae Hall CRYSTAL,https://cab.brown.edu/
Fall 2026,202610,AFRI 1112,What's Popping: The Contemporary Black Theatre Workshop,S01,15622,TTh 2:30pm-3:50pm,Churchill House BASSPA AUD,Physical location published,L. Biggs,S,Active,A,false,2026-09-09,2026-12-21,TTh 2:30pm-3:50pm in Churchill House BASSPA AUD,https://cab.brown.edu/
Fall 2026,202610,AFRI 1232,"Listening Closely to Bob Marley and the Wailers: Race, Religion and Radicalism in the Seventies",S01,15258,TTh 1pm-2:20pm,"Stephen Robert Hall, 280 Brook 101",Physical location published,Meeks/Dawes,S,Active,A,false,2026-09-09,2026-12-21,"TTh 1pm-2:20pm in Stephen Robert Hall, 280 Brook 101",https://cab.brown.edu/
Fall 2026,202610,AFRI 1330,Africana Studies Junior Seminar,S01,15214,TTh 2:30pm-3:50pm,Churchill House 206,Physical location published,A. LeSure,S,Active,A,false,2026-09-09,2026-12-21,TTh 2:30pm-3:50pm in Churchill House 206,https://cab.brown.edu/
Fall 2026,202610,AFRI 1970,Independent Reading and Research,S01,10162,TBA,TBA,TBA,L. Seifert,I,Active,A,false,2026-09-09,2026-12-21,TBA,https://cab.brown.edu/
Fall 2026,202610,AFRI 1970,Independent Reading and Research,S02,10163,TBA,TBA,TBA,K. Gallon,I,Active,A,false,2026-09-09,2026-12-21,TBA,https://cab.brown.edu/
Fall 2026,202610,AFRI 1970,Independent Reading and Research,S03,10164,TBA,TBA,TBA,B. Bogues,I,Active,A,false,2026-09-09,2026-12-21,TBA,https://cab.brown.edu/
Fall 2026,202610,AFRI 1970,Independent Reading and Research,S04,10165,TBA,TBA,TBA,M. Scott,I,Active,A,false,2026-09-09,2026-12-21,TBA,https://cab.brown.edu/
Fall 2026,202610,AFRI 1970,Independent Reading and Research,S06,10166,TBA,TBA,TBA,B. Meeks,I,Active,A,false,2026-09-09,2026-12-21,TBA,https://cab.brown.edu/
Fall 2026,202610,AFRI 1970,Independent Reading and Research,S07,10167,TBA,TBA,TBA,N. Rooks,I,Active,A,false,2026-09-09,2026-12-21,TBA,https://cab.brown.edu/
Fall 2026,202610,AFRI 1970,Independent Reading and Research,S08,10168,TBA,TBA,TBA,M. Guterl,I,Active,A,false,2026-09-09,2026-12-21,TBA,https://cab.brown.edu/
Fall 2026,202610,AFRI 1970,Independent Reading and Research,S09,10169,TBA,TBA,TBA,P. Lewis,I,Active,A,false,2026-09-09,2026-12-21,TBA,https://cab.brown.edu/
Fall 2026,202610,AFRI 1970,Independent Reading and Research,S10,10170,TBA,TBA,TBA,M. Guterl,I,Active,A,false,2026-09-09,2026-12-21,TBA,https://cab.brown.edu/
Fall 2026,202610,AFRI 1970,Independent Reading and Research,S11,10171,TBA,TBA,TBA,F. Hamlin,I,Active,A,false,2026-09-09,2026-12-21,TBA,https://cab.brown.edu/
Fall 2026,202610,AFRI 1970,Independent Reading and Research,S12,10172,TBA,TBA,TBA,L. Biggs,I,Active,A,false,2026-09-09,2026-12-21,TBA,https://cab.brown.edu/
Fall 2026,202610,AFRI 1970,Independent Reading and Research,S13,10173,TBA,TBA,TBA,TBD,I,Active,A,false,2026-09-09,2026-12-21,TBA,https://cab.brown.edu/
Fall 2026,202610,AFRI 2003,Performing Blackness: Critical Acts,S01,16065,M 3pm-5:30pm,Churchill House BASSPA AUD,Physical location published,L. Biggs,S,Active,A,false,2026-09-09,2026-12-21,M 3pm-5:30pm in Churchill House BASSPA AUD,https://cab.brown.edu/
Fall 2026,202610,AFRI 2970,Preliminary Examination Preparation,S01,13272,TBA,TBA,TBA,TBD,E,Active,A,false,2026-09-09,2026-12-21,TBA,https://cab.brown.edu/
