title,categories,author,published_at,article_url,summary_excerpt,image_url,source_url
"University report finds split AI adoption patterns, concerns of risks",University News | homepage,Ivy Huang,"Fri, 10 Jul 2026 00:36:45 -0400",https://www.browndailyherald.com/article/2026/07/university-report-finds-split-ai-adoption-patterns-concerns-of-risks,The Generative AI in Teaching and Learning Committeereport found asymmetric patterns of generative AI use across campus according to a Tuesday Today@Brown message.According to the report - shared with the community Provost Francis Doyle - 56% of undergraduate respondents and 67% of graduate and medical student respondents reported intentionally using generative AI tools daily or weekly.The committee noted they found a disconnect between the ways students and faculty use generative AI. They fo...,,https://www.browndailyherald.com/feed
"Paxson earned over $1.9 million in 2024, an approximately 39% decrease from previous year",University News | homepage,Roma Shah,"Thu, 09 Jul 2026 15:56:54 -0400",https://www.browndailyherald.com/article/2026/07/paxson-earned-over-1-9-million-in-2024-an-approximately-39-decrease-from-previous-year,"President Christina Paxson P'19 P'MD'20 earned about $1.95 million in total compensation in 2024, according to the University's fiscal year 2025 nonprofit tax filings. This marks an approximately 39% decrease from her compensation of over $3.1 million in 2023.This decrease is explained by the fact that Paxson earned no bonus or incentive compensation in 2024 after earning $1.2 million in bonus or incentive compensation the prior year. Paxson's base compensation remained steady for both years....",,https://www.browndailyherald.com/feed
Man charged with murder of 86-year-old on College Hill,Metro | homepage,Michelle Bi,"Wed, 08 Jul 2026 02:59:13 -0400",https://www.browndailyherald.com/article/2026/07/man-charged-with-murder-of-86-year-old-on-college-hill,"Providence police have charged a man for the murder of an 86-year-old.According to a press release, 25-year-old Dylan Sutphin was taken into custody without incident in downtown Providence on Thursday. Sutphin is being charged for the murder of John Conley, who was injured in the area of Thayer and Angell streets on June 25.Responding to a report of a man down, officers from the Providence Fire Department located Conley, who was complaining of neck pain. Conley underwent treatment at Rhode Is...",,https://www.browndailyherald.com/feed
GLO contract expires as tense negotiations continue,University News | homepage,Emily Feil,"Fri, 03 Jul 2026 09:43:08 -0400",https://www.browndailyherald.com/article/2026/07/glo-contract-expires-as-tense-negotiations-continue,"On Wednesday, the three-year collective bargaining agreement between Brown and the Graduate Labor Organization expired. But according to University officials and GLO, there is no end in sight for a new contract.""While all parties have worked in good faith since February to bargain toward a new contract, including a final session yesterday before the contract expiration, we remain far apart on important issues,"" Provost Francis Doyle and Executive Vice President for Finance and Administration...",,https://www.browndailyherald.com/feed
New law revives expired clergy sexual abuse claims,Metro | homepage,Talia Egnal,"Mon, 15 Jun 2026 10:52:14 -0400",https://www.browndailyherald.com/article/2026/06/new-law-revives-expired-clergy-sexual-abuse-claims,"On Thursday, Gov. Dan McKee signed a bill amending the statute of limitations for victims of childhood sexual abuse claims, opening the door for survivors to sue the Diocese of Providence.The legislation allows survivors of sexual assault whose claims would be prevented by a statute of limitations to initiate legal action during a ""revival window"" beginning on July 1, 2026 and ending on June 30, 2028. Institutions can be held liable for conduct including negligence in supervising someone who...",,https://www.browndailyherald.com/feed
University to develop thermal energy system as part of net-zero emission efforts,University News | homepage,Ian Ritter,"Thu, 11 Jun 2026 02:02:37 -0400",https://www.browndailyherald.com/article/2026/06/university-to-develop-thermal-energy-system-as-part-of-net-zero-emission-efforts,"The University is planning to create a new thermal energy system, with its central hub located in a 14,000-square-foot expansion of Page-Robinson Hall, Vice President for Facilities and Campus Operations Michael Guglielmo and Assistant Vice President for Sustainability and Resiliency Jessica Berry shared in a Wednesday Today@Brown announcement. The system is one part of a broader University initiative to achieve net-zero greenhouse gas emissions by 2040.The hub, which received authorization f...",,https://www.browndailyherald.com/feed
Corporation increases deficit with $1.95 billion budget for fiscal year 2027,University News | homepage,Jeremiah Farr,"Wed, 03 Jun 2026 17:53:52 -0400",https://www.browndailyherald.com/article/2026/06/corporation-increases-deficit-with-1-95-billion-budget-for-fiscal-year-2027,"The Corporation, the University's highest governing body, approved a $1.95 billion budget for fiscal year 2027 in their May meeting, according to a May 27 Today@Brown message. With $1.89 billion in expected revenue, the new budget creates over $50 million in debt, up from fiscal year 2026's $29 million deficit.The FY27 budget follows efforts to reduce the University's structural deficit, including laying off employees, freezing Ph.D. admissions and pausing net-zero emissions goals. The new bu...",,https://www.browndailyherald.com/feed
State council votes to return PPSD to local control,Metro | homepage,Ava Stryker-Robbins,"Tue, 26 May 2026 22:13:09 -0400",https://www.browndailyherald.com/article/2026/05/state-council-votes-to-return-ppsd-to-local-control,"The Council on Elementary and Secondary Education officially voted to return the Providence Public School District from state to local control by July 1 at a Tuesday meeting. Discussions regarding the transition are ongoing, and a community forum is set to take place on June 3.""In the weeks ahead, our district leadership team will continue working diligently to ensure PPSD stays the course and that we provide stability and keep our community informed every step of the way,"" PPSD Superintenden...",,https://www.browndailyherald.com/feed
Baseball falls to Yale in Ivy League Tournament championship game,Sports | homepage,Sajiv Mehta,"Tue, 26 May 2026 18:03:31 -0400",https://www.browndailyherald.com/article/2026/05/baseball-falls-to-yale-in-ivy-league-tournament-championship-game,"As Brown baseball headed into the ninth inning of the Ivy League Tournament opener in New Haven, they faced a Herculean challenge. Down 4-3 to No. 2 Penn, No. 3 Brown would need to scrape together a run to tie the game. If they failed to meet the moment, the Bears would suffer a near-fatal first loss in the double-elimination tournament.But Brown soared above the match's pressures, scoring a sensational 4 runs to stun the Quakers and grab their first postseason victory since 2007. Over the co...",,https://www.browndailyherald.com/feed
Francesca Beaudoin PhD'17 to stay on as permanent School of Public Health dean,University News | homepage,Ian Ritter,"Fri, 22 May 2026 16:11:25 -0400",https://www.browndailyherald.com/article/2026/05/francesca-beaudoin-phd-17-to-stay-on-as-permanent-school-of-public-health-dean,"Francesca Beaudoin PhD'17, a professor of epidemiology and of emergency medicine, will become the next dean of the School of Public Health on June 1. Beaudoin has filled the role in an interim capacity since January after the departure of former dean Ashish Jha.""Francesca is a proven academic leader who deeply embodies Brown's mission of translating world-class research into real-world impact,"" Provost Francis Doyle shared in a Tuesday message announcing the new dean.As dean, Beaudoin will ov...",,https://www.browndailyherald.com/feed
