location,date,day_of_week,hours,location_url,source_url,snapshot_note
Rockefeller Library,2026-07-26,Sunday,12pm – 7pm,https://lib.brown.edu/using-library/visiting-library/locations-hours/john-d-rockefeller-jr-library,https://lib.brown.edu/using-library/visiting-library/locations-hours,Weekly display captured from Brown Library; hours are subject to change.
Rockefeller Library,2026-07-27,Monday,8am – 9pm,https://lib.brown.edu/using-library/visiting-library/locations-hours/john-d-rockefeller-jr-library,https://lib.brown.edu/using-library/visiting-library/locations-hours,Weekly display captured from Brown Library; hours are subject to change.
Rockefeller Library,2026-07-28,Tuesday,8am – 9pm,https://lib.brown.edu/using-library/visiting-library/locations-hours/john-d-rockefeller-jr-library,https://lib.brown.edu/using-library/visiting-library/locations-hours,Weekly display captured from Brown Library; hours are subject to change.
Rockefeller Library,2026-07-29,Wednesday,8am – 9pm,https://lib.brown.edu/using-library/visiting-library/locations-hours/john-d-rockefeller-jr-library,https://lib.brown.edu/using-library/visiting-library/locations-hours,Weekly display captured from Brown Library; hours are subject to change.
Rockefeller Library,2026-07-30,Thursday,8am – 9pm,https://lib.brown.edu/using-library/visiting-library/locations-hours/john-d-rockefeller-jr-library,https://lib.brown.edu/using-library/visiting-library/locations-hours,Weekly display captured from Brown Library; hours are subject to change.
Rockefeller Library,2026-07-31,Friday,8am – 5pm,https://lib.brown.edu/using-library/visiting-library/locations-hours/john-d-rockefeller-jr-library,https://lib.brown.edu/using-library/visiting-library/locations-hours,Weekly display captured from Brown Library; hours are subject to change.
Rockefeller Library,2026-08-01,Saturday,10am – 5pm,https://lib.brown.edu/using-library/visiting-library/locations-hours/john-d-rockefeller-jr-library,https://lib.brown.edu/using-library/visiting-library/locations-hours,Weekly display captured from Brown Library; hours are subject to change.
Rockefeller Library Services,2026-07-26,Sunday,12pm – 7pm,https://lib.brown.edu/using-library/visiting-library/locations-hours/john-d-rockefeller-jr-library,https://lib.brown.edu/using-library/visiting-library/locations-hours,Weekly display captured from Brown Library; hours are subject to change.
Rockefeller Library Services,2026-07-27,Monday,8am – 9pm,https://lib.brown.edu/using-library/visiting-library/locations-hours/john-d-rockefeller-jr-library,https://lib.brown.edu/using-library/visiting-library/locations-hours,Weekly display captured from Brown Library; hours are subject to change.
Rockefeller Library Services,2026-07-28,Tuesday,8am – 9pm,https://lib.brown.edu/using-library/visiting-library/locations-hours/john-d-rockefeller-jr-library,https://lib.brown.edu/using-library/visiting-library/locations-hours,Weekly display captured from Brown Library; hours are subject to change.
